图像ID,原始文件名,原始宽度,原始高度,处理后宽度,处理后高度,缩放比例X,缩放比例Y,中心偏移X,中心偏移Y,处理时间,图像哈希值
3ece8b70,2012-05-17-611.jpg,1424,888,512,512,0.3595505617977528,0.3595505617977528,0,96,2025-06-09 21:55:11,3524c0f806758179379ac230310f3888
577e7b2b,2012-09-09-145.jpg,1637,860,512,512,0.3127672571777642,0.3127672571777642,0,122,2025-06-09 21:55:11,e8905b5736e9021a4a186c79871311d3
10c7f6dc,20160822_092253.jpg,2109,2252,512,512,0.22735346358792186,0.22735346358792186,16,0,2025-06-09 21:55:12,18936e400261548e45aba29f597290d0
c7534e35,20180709_111918.jpg,4032,3024,512,512,0.12698412698412698,0.12698412698412698,0,64,2025-06-09 21:55:12,735f4ca6f210c348a70dda30b3d192cd
99f5a4e8,20201019_221239-001.jpg,1895,1290,512,512,0.27018469656992083,0.27018469656992083,0,82,2025-06-09 21:55:12,251078f171ff474bc52707bb8702fc33
91f2003c,20201019_223741-001.jpg,1492,798,512,512,0.34316353887399464,0.34316353887399464,0,119,2025-06-09 21:55:12,5113cc54ed48e835fcdb719c582a365e
5bf3f54c,20201104_220231-001.jpg,1096,612,512,512,0.46715328467153283,0.46715328467153283,0,113,2025-06-09 21:55:12,fe4b2c3961f00229aa9a7560788c213b
c76d5c0b,20201110_232815-001.jpg,855,588,512,512,0.5988304093567252,0.5988304093567252,0,80,2025-06-09 21:55:12,d9700431eb58a7ba823605828ebad449
a6db5302,20201208_081106-001.jpg,1280,768,512,512,0.4,0.4,0,102,2025-06-09 21:55:12,0dcc3606f7bd10020552e2419e01a365
beb2e912,20201210_114029-001.jpg,2137,1419,512,512,0.23958820776789894,0.23958820776789894,0,86,2025-06-09 21:55:12,0f1210c6eddf2ada1715d0aecc717dcc
880f3197,20210119_093708-001.jpg,1847,1119,512,512,0.27720628045479156,0.27720628045479156,0,101,2025-06-09 21:55:12,dd48c5b700c16f2e1166b7184e2001d9
da9bd78a,20210219_104915-001.jpg,1508,734,512,512,0.3395225464190981,0.3395225464190981,0,131,2025-06-09 21:55:12,a7aba0819c7e6dbac5b2e3a5aa870e22
