图像ID,原始文件名,关键点,归一化X,归一化Y,像素X,像素Y
28ed2912-4858dc3f,28ed2912-4858dc3f_IMGA02051.JPG,CC1,0.46063651591289784,0.39028475711892796,236,200
28ed2912-4858dc3f,28ed2912-4858dc3f_IMGA02051.JPG,CC2,0.5226130653266332,0.373534338358459,268,191
28ed2912-4858dc3f,28ed2912-4858dc3f_IMGA02051.JPG,CN1,0.5628140703517588,0.35343383584589616,288,181
28ed2912-4858dc3f,28ed2912-4858dc3f_IMGA02051.JPG,CN2,0.6063651591289783,0.3685092127303184,310,189
28ed2912-4858dc3f,28ed2912-4858dc3f_IMGA02051.JPG,N,0.5510887772194305,0.3869346733668342,282,198
7e2215eb-0b0df02f,7e2215eb-0b0df02f_IMGA0388.JPG,CC1,0.4187604690117253,0.3165829145728643,214,162
7e2215eb-0b0df02f,7e2215eb-0b0df02f_IMGA0388.JPG,CC2,0.4589614740368509,0.288107202680067,235,148
7e2215eb-0b0df02f,7e2215eb-0b0df02f_IMGA0388.JPG,CN1,0.49581239530988275,0.2914572864321608,254,149
7e2215eb-0b0df02f,7e2215eb-0b0df02f_IMGA0388.JPG,CN2,0.5544388609715243,0.3232830820770519,284,166
7e2215eb-0b0df02f,7e2215eb-0b0df02f_IMGA0388.JPG,N,0.47571189279731996,0.31993299832495814,244,164
fc2b081f-0cee99f4,fc2b081f-0cee99f4_P1010009-001.JPG,CC1,0.4154103852596315,0.5979899497487438,213,306
fc2b081f-0cee99f4,fc2b081f-0cee99f4_P1010009-001.JPG,CC2,0.5879396984924623,0.5510887772194304,301,282
fc2b081f-0cee99f4,fc2b081f-0cee99f4_P1010009-001.JPG,CN1,0.6398659966499163,0.49413735343383586,328,253
fc2b081f-0cee99f4,fc2b081f-0cee99f4_P1010009-001.JPG,CN2,0.7319932998324958,0.5494137353433836,375,281
fc2b081f-0cee99f4,fc2b081f-0cee99f4_P1010009-001.JPG,N,0.6465661641541038,0.5443886097152428,331,279
e3371a21-0cffadeb,e3371a21-0cffadeb_IMGA0145.JPG,CC1,0.4154103852596315,0.46733668341708545,213,239
e3371a21-0cffadeb,e3371a21-0cffadeb_IMGA0145.JPG,CC2,0.4623115577889447,0.45226130653266333,237,232
e3371a21-0cffadeb,e3371a21-0cffadeb_IMGA0145.JPG,CN1,0.4824120603015075,0.4824120603015075,247,247
e3371a21-0cffadeb,e3371a21-0cffadeb_IMGA0145.JPG,CN2,0.5829145728643216,0.49413735343383586,298,253
e3371a21-0cffadeb,e3371a21-0cffadeb_IMGA0145.JPG,N,0.45226130653266333,0.48408710217755446,232,248
95fbb5c8-1ae0a321,95fbb5c8-1ae0a321_IMGA0271.JPG,CC1,0.423785594639866,0.4304857621440536,217,220
95fbb5c8-1ae0a321,95fbb5c8-1ae0a321_IMGA0271.JPG,CC2,0.47403685092127307,0.4288107202680067,243,220
95fbb5c8-1ae0a321,95fbb5c8-1ae0a321_IMGA0271.JPG,CN1,0.509212730318258,0.4472361809045226,261,229
95fbb5c8-1ae0a321,95fbb5c8-1ae0a321_IMGA0271.JPG,CN2,0.5711892797319933,0.4639865996649916,292,238
95fbb5c8-1ae0a321,95fbb5c8-1ae0a321_IMGA0271.JPG,N,0.48576214405360135,0.45561139028475706,249,233
95d1c936-1f3c923b,95d1c936-1f3c923b_IMGA0741.JPG,CC1,0.442211055276382,0.39195979899497485,226,201
95d1c936-1f3c923b,95d1c936-1f3c923b_IMGA0741.JPG,CC2,0.4891122278056951,0.37520938023450584,250,192
95d1c936-1f3c923b,95d1c936-1f3c923b_IMGA0741.JPG,CN1,0.5209380234505863,0.3969849246231156,267,203
95d1c936-1f3c923b,95d1c936-1f3c923b_IMGA0741.JPG,CN2,0.5778894472361809,0.41038525963149086,296,210
95d1c936-1f3c923b,95d1c936-1f3c923b_IMGA0741.JPG,N,0.48743718592964824,0.4053601340033501,250,208
096ff1c7-2a4c445f,096ff1c7-2a4c445f_IMGA0093.JPG,CC1,0.42211055276381904,0.4036850921273032,216,207
096ff1c7-2a4c445f,096ff1c7-2a4c445f_IMGA0093.JPG,CC2,0.46063651591289784,0.3852596314907873,236,197
096ff1c7-2a4c445f,096ff1c7-2a4c445f_IMGA0093.JPG,CN1,0.49413735343383586,0.3936348408710218,253,202
096ff1c7-2a4c445f,096ff1c7-2a4c445f_IMGA0093.JPG,CN2,0.5343383584589615,0.4154103852596315,274,213
096ff1c7-2a4c445f,096ff1c7-2a4c445f_IMGA0093.JPG,N,0.47403685092127307,0.4137353433835847,243,212
40e57ea2-2f3b5700,40e57ea2-2f3b5700_IMGA0125.JPG,CC1,0.4020100502512563,0.4371859296482412,206,224
40e57ea2-2f3b5700,40e57ea2-2f3b5700_IMGA0125.JPG,CC2,0.4438860971524289,0.41038525963149086,227,210
40e57ea2-2f3b5700,40e57ea2-2f3b5700_IMGA0125.JPG,CN1,0.5025125628140703,0.44053601340033505,257,226
40e57ea2-2f3b5700,40e57ea2-2f3b5700_IMGA0125.JPG,CN2,0.5862646566164154,0.44053601340033505,300,226
40e57ea2-2f3b5700,40e57ea2-2f3b5700_IMGA0125.JPG,N,0.4656616415410385,0.4355108877721943,238,223
cc109e27-3af8825d,cc109e27-3af8825d_IMGA0882.JPG,CC1,0.457286432160804,0.48743718592964824,234,250
cc109e27-3af8825d,cc109e27-3af8825d_IMGA0882.JPG,CC2,0.4991624790619765,0.46733668341708545,256,239
cc109e27-3af8825d,cc109e27-3af8825d_IMGA0882.JPG,CN1,0.5293132328308208,0.4824120603015075,271,247
cc109e27-3af8825d,cc109e27-3af8825d_IMGA0882.JPG,CN2,0.5778894472361809,0.4924623115577889,296,252
cc109e27-3af8825d,cc109e27-3af8825d_IMGA0882.JPG,N,0.5058626465661642,0.49581239530988275,259,254
dc508c7d-3ece8b70,dc508c7d-3ece8b70_2012-05-17-611.jpg,CC1,0.39028475711892796,0.6348408710217756,200,325
dc508c7d-3ece8b70,dc508c7d-3ece8b70_2012-05-17-611.jpg,CC2,0.48743718592964824,0.628140703517588,250,322
dc508c7d-3ece8b70,dc508c7d-3ece8b70_2012-05-17-611.jpg,CN1,0.5393634840871022,0.5946398659966499,276,304
dc508c7d-3ece8b70,dc508c7d-3ece8b70_2012-05-17-611.jpg,CN2,0.6063651591289781,0.5862646566164154,310,300
dc508c7d-3ece8b70,dc508c7d-3ece8b70_2012-05-17-611.jpg,N,0.5326633165829145,0.6298157453936348,273,322
ecb4c232-3fa1d19d,ecb4c232-3fa1d19d_IMGA0046.JPG,CC1,0.4020100502512563,0.46901172529313234,206,240
ecb4c232-3fa1d19d,ecb4c232-3fa1d19d_IMGA0046.JPG,CC2,0.47906197654941374,0.4271356783919598,245,219
ecb4c232-3fa1d19d,ecb4c232-3fa1d19d_IMGA0046.JPG,CN1,0.5192629815745393,0.3969849246231156,266,203
ecb4c232-3fa1d19d,ecb4c232-3fa1d19d_IMGA0046.JPG,CN2,0.5343383584589615,0.4271356783919598,274,219
ecb4c232-3fa1d19d,ecb4c232-3fa1d19d_IMGA0046.JPG,N,0.49748743718592964,0.4371859296482412,255,224
0003d6f2-4c902fe8,0003d6f2-4c902fe8_IMGA0043.JPG,CC1,0.44053601340033505,0.3936348408710218,226,202
0003d6f2-4c902fe8,0003d6f2-4c902fe8_IMGA0043.JPG,CC2,0.49748743718592964,0.3869346733668342,255,198
0003d6f2-4c902fe8,0003d6f2-4c902fe8_IMGA0043.JPG,CN1,0.5561139028475712,0.38023450586264657,285,195
0003d6f2-4c902fe8,0003d6f2-4c902fe8_IMGA0043.JPG,CN2,0.5795644891122278,0.4204355108877722,297,215
0003d6f2-4c902fe8,0003d6f2-4c902fe8_IMGA0043.JPG,N,0.5309882747068677,0.4120603015075377,272,211
c81f3438-4d56c0c0,c81f3438-4d56c0c0_IMGA0303.JPG,CC1,0.388609715242881,0.3936348408710218,199,202
c81f3438-4d56c0c0,c81f3438-4d56c0c0_IMGA0303.JPG,CC2,0.42546063651591287,0.35343383584589616,218,181
c81f3438-4d56c0c0,c81f3438-4d56c0c0_IMGA0303.JPG,CN1,0.4639865996649916,0.3953098827470687,238,202
c81f3438-4d56c0c0,c81f3438-4d56c0c0_IMGA0303.JPG,CN2,0.5812395309882747,0.42546063651591287,298,218
c81f3438-4d56c0c0,c81f3438-4d56c0c0_IMGA0303.JPG,N,0.42546063651591287,0.3936348408710218,218,202
082d508a-4db2ddeb,082d508a-4db2ddeb_IMGA0308.JPG,CC1,0.42211055276381904,0.5678391959798995,216,291
082d508a-4db2ddeb,082d508a-4db2ddeb_IMGA0308.JPG,CC2,0.4807370184254606,0.5946398659966499,246,304
082d508a-4db2ddeb,082d508a-4db2ddeb_IMGA0308.JPG,CN1,0.5159128978224455,0.5778894472361809,264,296
082d508a-4db2ddeb,082d508a-4db2ddeb_IMGA0308.JPG,CN2,0.5711892797319933,0.5946398659966499,292,304
082d508a-4db2ddeb,082d508a-4db2ddeb_IMGA0308.JPG,N,0.5058626465661642,0.6046901172529313,259,310
912d1592-5b96565d,912d1592-5b96565d_IMGA0126.JPG,CC1,0.36348408710217756,0.35678391959798994,186,183
912d1592-5b96565d,912d1592-5b96565d_IMGA0126.JPG,CC2,0.3936348408710218,0.3316582914572864,202,170
912d1592-5b96565d,912d1592-5b96565d_IMGA0126.JPG,CN1,0.4271356783919598,0.3668341708542713,219,188
912d1592-5b96565d,912d1592-5b96565d_IMGA0126.JPG,CN2,0.5125628140703518,0.4003350083752093,262,205
912d1592-5b96565d,912d1592-5b96565d_IMGA0126.JPG,N,0.39195979899497485,0.36348408710217756,201,186
7e04bcea-5babd280,7e04bcea-5babd280_IMGA0084.JPG,CC1,0.4304857621440536,0.4539363484087101,220,232
